species	dist	ObsDato	numbers	year	week	month
Pinkfoot	861.2603409647908	2015-10-16T17:25:00Z	1780	2015	42	10
Pinkfoot	9960.90321030486	2015-10-17T12:40:00Z	94	2015	42	10
Pinkfoot	1626.9514117628617	2015-10-18T08:00:00Z	710	2015	42	10
Pinkfoot	1247.2609689222772	2015-10-18T08:25:00Z	3160	2015	42	10
Pinkfoot	14033.871810780052	2015-10-18T10:00:00Z	2e3	2015	42	10
Pinkfoot	6539.612768497231	2015-10-18T13:35:00Z	155	2015	42	10
Pinkfoot	6547.274732212574	2015-10-18T14:30:00Z	1e3	2015	42	10
Pinkfoot	8372.724027521454	2015-10-18T15:25:00Z	2100	2015	42	10
Pinkfoot	11757.856139420932	2015-10-20T08:45:00Z	380	2015	42	10
Pinkfoot	9929.70014669992	2015-10-20T10:00:00Z	72	2015	42	10
Pinkfoot	1048.8987211761687	2015-10-20T17:30:00Z	620	2015	42	10
Pinkfoot	1047.855786402458	2015-10-21T08:05:00Z	630	2015	42	10
Pinkfoot	8799.719867825637	2015-10-21T10:25:00Z	1600	2015	42	10
Pinkfoot	6236.14824535913	2015-10-21T10:40:00Z	840	2015	42	10
Pinkfoot	7912.974162730339	2015-10-21T11:30:00Z	120	2015	42	10
Pinkfoot	8080.308976753593	2015-10-21T11:45:00Z	2	2015	42	10
Pinkfoot	7242.054783821371	2015-10-21T11:50:00Z	31	2015	42	10
Pinkfoot	7603.995498103477	2015-10-23T13:35:00Z	22	2015	43	10
Pinkfoot	8892.682941442932	2015-10-23T15:10:00Z	860	2015	43	10
Pinkfoot	6674.997978936163	2015-10-23T15:35:00Z	1300	2015	43	10
Pinkfoot	937.7050330533955	2015-10-23T17:25:00Z	470	2015	43	10
Pinkfoot	1092.899439411033	2015-10-24T08:30:00Z	2100	2015	43	10
Pinkfoot	14092.614416477143	2015-10-24T10:25:00Z	1460	2015	43	10
Pinkfoot	7594.1381709545985	2015-10-24T12:32:00Z	10	2015	43	10
Pinkfoot	7608.398304535712	2015-10-26T13:50:00Z	10	2015	43	10
