season	day	day_in_year	species_type	leave_reason	n
1	598	233	greylag_nonbreeder	migration	61
1	598	233	greylag_nonbreeder	body_condition	0
1	598	233	greylag_nonbreeder	lean_weight	0
1	599	234	pinkfoot_family	migration	0
1	599	234	pinkfoot_family	body_condition	0
1	599	234	pinkfoot_family	lean_weight	0
1	599	234	pinkfoot_nonbreeder	migration	0
1	599	234	pinkfoot_nonbreeder	body_condition	0
1	599	234	pinkfoot_nonbreeder	lean_weight	0
1	599	234	barnacle_family	migration	0
1	599	234	barnacle_family	body_condition	0
1	599	234	barnacle_family	lean_weight	0
1	599	234	barnacle_nonbreeder	migration	0
1	599	234	barnacle_nonbreeder	body_condition	0
1	599	234	barnacle_nonbreeder	lean_weight	0
1	599	234	greylag_family	migration	4
1	599	234	greylag_family	body_condition	0
1	599	234	greylag_family	lean_weight	0
1	599	234	greylag_nonbreeder	migration	58
1	599	234	greylag_nonbreeder	body_condition	0
1	599	234	greylag_nonbreeder	lean_weight	0
1	600	235	pinkfoot_family	migration	0
1	600	235	pinkfoot_family	body_condition	0
1	600	235	pinkfoot_family	lean_weight	0
1	600	235	pinkfoot_nonbreeder	migration	0
1	600	235	pinkfoot_nonbreeder	body_condition	0
1	600	235	pinkfoot_nonbreeder	lean_weight	0
1	600	235	barnacle_family	migration	0
1	600	235	barnacle_family	body_condition	0
1	600	235	barnacle_family	lean_weight	0
1	600	235	barnacle_nonbreeder	migration	0
1	600	235	barnacle_nonbreeder	body_condition	0
1	600	235	barnacle_nonbreeder	lean_weight	0
1	600	235	greylag_family	migration	2
1	600	235	greylag_family	body_condition	0
1	600	235	greylag_family	lean_weight	0
1	600	235	greylag_nonbreeder	migration	45
1	600	235	greylag_nonbreeder	body_condition	0
1	600	235	greylag_nonbreeder	lean_weight	0
1	601	236	pinkfoot_family	migration	0
1	601	236	pinkfoot_family	body_condition	0
1	601	236	pinkfoot_family	lean_weight	0
1	601	236	pinkfoot_nonbreeder	migration	0
1	601	236	pinkfoot_nonbreeder	body_condition	0
1	601	236	pinkfoot_nonbreeder	lean_weight	0
1	601	236	barnacle_family	migration	0
1	601	236	barnacle_family	body_condition	0
1	601	236	barnacle_family	lean_weight	0
1	601	236	barnacle_nonbreeder	migration	0
1	601	236	barnacle_nonbreeder	body_condition	0
1	601	236	barnacle_nonbreeder	lean_weight	0
1	601	236	greylag_family	migration	4
1	601	236	greylag_family	body_condition	0
1	601	236	greylag_family	lean_weight	0
1	601	236	greylag_nonbreeder	migration	56
1	601	236	greylag_nonbreeder	body_condition	0
1	601	236	greylag_nonbreeder	lean_weight	0
1	602	237	pinkfoot_family	migration	0
1	602	237	pinkfoot_family	body_condition	0
1	602	237	pinkfoot_family	lean_weight	0
1	602	237	pinkfoot_nonbreeder	migration	0
1	602	237	pinkfoot_nonbreeder	body_condition	0
1	602	237	pinkfoot_nonbreeder	lean_weight	0
1	602	237	barnacle_family	migration	0
1	602	237	barnacle_family	body_condition	0
1	602	237	barnacle_family	lean_weight	0
1	602	237	barnacle_nonbreeder	migration	0
1	602	237	barnacle_nonbreeder	body_condition	0
1	602	237	barnacle_nonbreeder	lean_weight	0
1	602	237	greylag_family	migration	1
1	602	237	greylag_family	body_condition	0
1	602	237	greylag_family	lean_weight	0
1	602	237	greylag_nonbreeder	migration	49
1	602	237	greylag_nonbreeder	body_condition	0
1	602	237	greylag_nonbreeder	lean_weight	0
1	603	238	pinkfoot_family	migration	0
1	603	238	pinkfoot_family	body_condition	0
1	603	238	pinkfoot_family	lean_weight	0
1	603	238	pinkfoot_nonbreeder	migration	0
1	603	238	pinkfoot_nonbreeder	body_condition	0
1	603	238	pinkfoot_nonbreeder	lean_weight	0
1	603	238	barnacle_family	migration	0
1	603	238	barnacle_family	body_condition	0
1	603	238	barnacle_family	lean_weight	0
1	603	238	barnacle_nonbreeder	migration	0
1	603	238	barnacle_nonbreeder	body_condition	0
1	603	238	barnacle_nonbreeder	lean_weight	0
1	603	238	greylag_family	migration	6
1	603	238	greylag_family	body_condition	0
1	603	238	greylag_family	lean_weight	0
1	603	238	greylag_nonbreeder	migration	64
1	603	238	greylag_nonbreeder	body_condition	0
1	603	238	greylag_nonbreeder	lean_weight	0
1	604	239	pinkfoot_family	migration	0
1	604	239	pinkfoot_family	body_condition	0
1	604	239	pinkfoot_family	lean_weight	0
1	604	239	pinkfoot_nonbreeder	migration	0
1	604	239	pinkfoot_nonbreeder	body_condition	0
1	604	239	pinkfoot_nonbreeder	lean_weight	0
1	604	239	barnacle_family	migration	0
1	604	239	barnacle_family	body_condition	0
1	604	239	barnacle_family	lean_weight	0
1	604	239	barnacle_nonbreeder	migration	0
1	604	239	barnacle_nonbreeder	body_condition	0
1	604	239	barnacle_nonbreeder	lean_weight	0
1	604	239	greylag_family	migration	3
1	604	239	greylag_family	body_condition	0
1	604	239	greylag_family	lean_weight	0
1	604	239	greylag_nonbreeder	migration	47
1	604	239	greylag_nonbreeder	body_condition	0
1	604	239	greylag_nonbreeder	lean_weight	0
1	605	240	pinkfoot_family	migration	0
1	605	240	pinkfoot_family	body_condition	0
1	605	240	pinkfoot_family	lean_weight	0
1	605	240	pinkfoot_nonbreeder	migration	0
1	605	240	pinkfoot_nonbreeder	body_condition	0
1	605	240	pinkfoot_nonbreeder	lean_weight	0
1	605	240	barnacle_family	migration	0
1	605	240	barnacle_family	body_condition	0
1	605	240	barnacle_family	lean_weight	0
1	605	240	barnacle_nonbreeder	migration	0
1	605	240	barnacle_nonbreeder	body_condition	0
1	605	240	barnacle_nonbreeder	lean_weight	0
1	605	240	greylag_family	migration	5
1	605	240	greylag_family	body_condition	0
1	605	240	greylag_family	lean_weight	0
1	605	240	greylag_nonbreeder	migration	50
1	605	240	greylag_nonbreeder	body_condition	0
1	605	240	greylag_nonbreeder	lean_weight	0
1	606	241	pinkfoot_family	migration	0
1	606	241	pinkfoot_family	body_condition	0
1	606	241	pinkfoot_family	lean_weight	0
1	606	241	pinkfoot_nonbreeder	migration	0
1	606	241	pinkfoot_nonbreeder	body_condition	0
1	606	241	pinkfoot_nonbreeder	lean_weight	0
1	606	241	barnacle_family	migration	0
1	606	241	barnacle_family	body_condition	0
1	606	241	barnacle_family	lean_weight	0
1	606	241	barnacle_nonbreeder	migration	0
1	606	241	barnacle_nonbreeder	body_condition	0
1	606	241	barnacle_nonbreeder	lean_weight	0
1	606	241	greylag_family	migration	5
1	606	241	greylag_family	body_condition	0
1	606	241	greylag_family	lean_weight	0
1	606	241	greylag_nonbreeder	migration	55
1	606	241	greylag_nonbreeder	body_condition	0
1	606	241	greylag_nonbreeder	lean_weight	0
1	607	242	pinkfoot_family	migration	0
1	607	242	pinkfoot_family	body_condition	0
1	607	242	pinkfoot_family	lean_weight	0
1	607	242	pinkfoot_nonbreeder	migration	0
1	607	242	pinkfoot_nonbreeder	body_condition	0
1	607	242	pinkfoot_nonbreeder	lean_weight	0
1	607	242	barnacle_family	migration	0
1	607	242	barnacle_family	body_condition	0
1	607	242	barnacle_family	lean_weight	0
1	607	242	barnacle_nonbreeder	migration	0
1	607	242	barnacle_nonbreeder	body_condition	0
1	607	242	barnacle_nonbreeder	lean_weight	0
1	607	242	greylag_family	migration	8
1	607	242	greylag_family	body_condition	0
1	607	242	greylag_family	lean_weight	0
1	607	242	greylag_nonbreeder	migration	58
1	607	242	greylag_nonbreeder	body_condition	0
1	607	242	greylag_nonbreeder	lean_weight	0
1	608	243	pinkfoot_family	migration	0
1	608	243	pinkfoot_family	body_condition	0
1	608	243	pinkfoot_family	lean_weight	0
1	608	243	pinkfoot_nonbreeder	migration	0
1	608	243	pinkfoot_nonbreeder	body_condition	0
1	608	243	pinkfoot_nonbreeder	lean_weight	0
1	608	243	barnacle_family	migration	0
1	608	243	barnacle_family	body_condition	0
1	608	243	barnacle_family	lean_weight	0
1	608	243	barnacle_nonbreeder	migration	0
1	608	243	barnacle_nonbreeder	body_condition	0
1	608	243	barnacle_nonbreeder	lean_weight	0
1	608	243	greylag_family	migration	6
1	608	243	greylag_family	body_condition	0
1	608	243	greylag_family	lean_weight	0
1	608	243	greylag_nonbreeder	migration	53
1	608	243	greylag_nonbreeder	body_condition	0
1	608	243	greylag_nonbreeder	lean_weight	0
1	609	244	pinkfoot_family	migration	0
1	609	244	pinkfoot_family	body_condition	0
1	609	244	pinkfoot_family	lean_weight	0
1	609	244	pinkfoot_nonbreeder	migration	0
1	609	244	pinkfoot_nonbreeder	body_condition	0
1	609	244	pinkfoot_nonbreeder	lean_weight	0
1	609	244	barnacle_family	migration	0
1	609	244	barnacle_family	body_condition	0
1	609	244	barnacle_family	lean_weight	0
1	609	244	barnacle_nonbreeder	migration	0
1	609	244	barnacle_nonbreeder	body_condition	0
1	609	244	barnacle_nonbreeder	lean_weight	0
1	609	244	greylag_family	migration	3
1	609	244	greylag_family	body_condition	0
1	609	244	greylag_family	lean_weight	0
1	609	244	greylag_nonbreeder	migration	60
1	609	244	greylag_nonbreeder	body_condition	0
1	609	244	greylag_nonbreeder	lean_weight	0
1	610	245	pinkfoot_family	migration	0
1	610	245	pinkfoot_family	body_condition	0
1	610	245	pinkfoot_family	lean_weight	0
1	610	245	pinkfoot_nonbreeder	migration	0
1	610	245	pinkfoot_nonbreeder	body_condition	0
1	610	245	pinkfoot_nonbreeder	lean_weight	0
1	610	245	barnacle_family	migration	0
1	610	245	barnacle_family	body_condition	0
1	610	245	barnacle_family	lean_weight	0
1	610	245	barnacle_nonbreeder	migration	0
1	610	245	barnacle_nonbreeder	body_condition	0
1	610	245	barnacle_nonbreeder	lean_weight	0
1	610	245	greylag_family	migration	5
1	610	245	greylag_family	body_condition	0
1	610	245	greylag_family	lean_weight	0
1	610	245	greylag_nonbreeder	migration	53
1	610	245	greylag_nonbreeder	body_condition	0
1	610	245	greylag_nonbreeder	lean_weight	0
1	611	246	pinkfoot_family	migration	0
1	611	246	pinkfoot_family	body_condition	0
1	611	246	pinkfoot_family	lean_weight	0
1	611	246	pinkfoot_nonbreeder	migration	0
1	611	246	pinkfoot_nonbreeder	body_condition	0
