343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
153	0	15	1	1	1	13178	7896	5	83	426	209	24	432	NA	NA	NA	NA	NA
154	0	15	1	1	1	28372	12944	1	60	NA	NA	NA	NA	NA	NA	NA	NA	NA
155	0	15	1	1	1	3838	11373	4	414	213	195	417	NA	NA	NA	NA	NA	NA
156	0	15	1	1	1	31772	15604	2	477	98	NA	NA	NA	NA	NA	NA	NA	NA
157	0	15	1	1	1	31219	16081	2	544	163	NA	NA	NA	NA	NA	NA	NA	NA
158	0	15	1	1	1	2757	5376	3	339	110	328	NA	NA	NA	NA	NA	NA	NA
159	0	15	1	1	1	14998	16146	2	235	552	NA	NA	NA	NA	NA	NA	NA	NA
160	0	15	1	1	1	15359	14578	5	14	356	74	402	177	NA	NA	NA	NA	NA
161	0	15	1	1	1	9960	10251	2	306	542	NA	NA	NA	NA	NA	NA	NA	NA
162	0	15	1	1	1	27323	12908	5	538	164	349	529	355	NA	NA	NA	NA	NA
163	0	15	1	1	1	28390	12487	3	343	414	555	NA	NA	NA	NA	NA	NA	NA
164	0	15	1	1	1	30769	16086	3	445	208	158	NA	NA	NA	NA	NA	NA	NA
165	0	15	1	1	1	25579	15743	2	478	69	NA	NA	NA	NA	NA	NA	NA	NA
166	0	15	1	1	1	35138	17723	2	110	139	NA	NA	NA	NA	NA	NA	NA	NA
167	0	15	1	1	1	23930	18344	1	111	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	0	15	1	1	1	26785	12073	2	352	110	NA	NA	NA	NA	NA	NA	NA	NA
169	0	15	1	1	1	32549	12537	3	32	461	4	NA	NA	NA	NA	NA	NA	NA
170	0	15	1	1	1	32549	12537	1	354	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	0	15	1	1	1	28643	15440	5	76	276	346	245	65	NA	NA	NA	NA	NA
