Polyref	CX	CY	Type	Area	Country Designation
31288	3870	5949	1	5	-1
31289	3883	5949	1	7	-1
31290	4010	5949	20	7	-1
31291	4094	5959	20	229	-1
31292	4292	5949	38	1	-1
31293	4660	5956	44	193	-1
31294	5369	5950	1	3	-1
31295	5969	5949	57	1	-1
31296	6405	5967	30	345	-1
31297	6415	5949	57	1	-1
31298	6634	5963	1	52	-1
31299	8502	5949	1	2	-1
31300	8524	5949	1	2	-1
31301	9945	5949	51	1	-1
31302	1319	6061	57	20011	-1
31303	1233	5950	12	1	-1
31304	1244	5950	57	1	-1
31305	3929	5951	21	3	-1
31306	4014	5956	24	229	0
31307	4294	5950	38	1	-1
31308	4597	5951	52	2	-1
31309	5362	5952	1	4	-1
31310	5730	5953	1	6	-1
31311	6907	5964	12	87	-1
31312	8505	5950	1	2	-1
31313	8527	5950	1	2	-1
31314	8894	5950	52	1	-1
31315	9148	5953	50	11	-1
31316	4118	5954	24	17	0
31317	4150	5951	20	1	-1
31318	4296	5951	38	1	-1
31319	6612	5959	24	138	0
31320	7225	5973	12	195	-1
31321	8508	5951	1	2	-1
31322	8530	5951	1	2	-1
31323	8567	5951	1	1	-1
31324	8897	5951	52	1	-1
31325	4021	5952	20	1	-1
31326	4298	5952	38	1	-1
31327	4353	5952	57	1	-1
31328	6908	5962	52	25	-1
31329	8511	5952	1	2	-1
31330	8533	5952	1	2	-1
31331	8569	5961	1	26	-1
31332	3901	5953	1	5	-1
31333	3901	5961	24	287	0
31334	4023	5953	20	2	-1
31335	4055	5956	20	35	-1
31336	4353	6085	6	38335	-1
31337	4309	5958	38	20	-1
31338	5726	5953	57	1	-1
31339	5742	5954	57	8	-1
31340	5905	5803	6	135802	-1
31341	6414	5953	57	1	-1
31342	6855	5978	57	81	-1
31343	7969	5979	57	109	-1
31344	7984	5954	57	2	-1
31345	8514	5953	1	2	-1
31346	8536	5953	1	2	-1
31347	8902	5953	52	1	-1
31348	3893	5954	1	7	-1
31349	3900	5954	20	7	-1
31350	4026	5954	0	1	-1
31351	4083	5961	24	147	0
31352	5368	5955	1	3	-1
31353	5740	5954	22	1	-1
31354	8517	5954	1	2	-1
31355	8542	5955	1	7	-1
31356	8559	5960	1	41	-1
31357	8905	5954	52	1	-1
31358	9944	5954	51	1	-1
31359	3884	6022	40	198	-1
31360	4082	5955	20	1	-1
31361	5361	5956	1	3	-1
31362	5461	5955	57	1	-1
31363	7488	5961	53	120	-1
31364	8520	5955	1	2	-1
31365	4350	5956	57	1	-1
31366	4761	5967	57	95	-1
31367	5967	5956	57	1	-1
31368	6413	5956	57	1	-1
31369	8523	5956	1	2	-1
31370	531	5957	16	1	3
31371	3901	5972	20	600	-1
31372	5206	6054	0	4113	-1
31373	5725	5959	57	5	-1
31374	5729	5960	1	7	-1
31375	6712	5957	57	1	-1
