season	day	species	foraging_time	foraging_time_se	flight_distance	flight_distance_se	daily_energy_budget	daily_energy_budget_se	daily_energy_balance	daily_energy_balance_se	day_length	foraging_time_sd	flight_distance_sd	daily_energy_budget_sd	daily_energy_balance_sd
1	643	greylag	502.288	2.0011	23589.7	152.337	1287	0	826.292	3.46616	664	138.351	10532.2	0	239.642
1	644	pinkfoot	460.971	1.31973	15183.3	113.613	1143	0.000563267	773.047	1.67859	660	126.667	10904.5	0.0540619	161.11
1	644	barnacle	342.242	10.7093	14392.3	562.911	950.667	0.0192611	45.19	29.2766	660	262.324	13788.4	0.471798	717.128
1	644	greylag	508.434	1.94692	22815.4	155.558	1288	0	822.589	3.50077	660	133.97	10704.2	0	240.893
1	645	pinkfoot	465.518	1.29073	15360.8	95.9909	1102	0.000922807	818.501	1.46341	655	121.959	9070	0.0871942	138.275
1	645	barnacle	339.409	7.98789	15861.5	462.673	909.5	0.0306378	253.221	23.8889	655	225.932	13086.4	0.866567	675.68
1	645	greylag	506.912	1.95062	21858.1	151.751	1286	0	819.143	3.70108	655	133.6	10393.6	0	253.49
1	646	pinkfoot	452.465	1.33555	18334.3	129.311	1096.99	0.00119837	824.602	1.55612	650	124.278	12032.8	0.111513	144.802
1	646	barnacle	367.5	7.23624	16865.2	425.334	905.6	0.0253109	303.015	19.6244	650	228.83	13450.2	0.8004	620.578
1	646	greylag	507.448	1.92785	21658.2	156.26	1283	0	819.568	3.7384	650	131.674	10672.7	0	255.336
1	647	pinkfoot	443.504	1.33356	21067.9	135.696	1145	0.000593611	771.241	1.61142	646	122.303	12444.9	0.0544409	147.786
1	647	barnacle	452.554	6.41144	11656.1	343.695	953.833	0.0107628	252.819	16.6353	646	222.099	11905.9	0.372833	576.264
1	647	greylag	506.048	1.90589	21538.3	155.453	1289	0	807.209	3.89405	646	129.544	10566.3	0	264.681
1	648	pinkfoot	468.978	1.31841	23684.5	137.438	1116.99	0.00122414	773.966	1.85547	641	119.074	12412.9	0.110559	167.579
1	648	barnacle	437.47	5.57385	17254.9	331.873	925.857	0.00935554	338.534	14.5928	641	208.554	12417.5	0.350052	546.014
1	648	greylag	500.08	1.91021	21458.7	160.37	1260	0	837.611	3.95476	641	129.233	10849.6	0	267.553
1	649	pinkfoot	459.631	1.34854	20852	121.38	1121.99	0.00135714	780.558	1.86181	637	120.028	10803.5	0.120793	165.711
1	649	barnacle	459.662	4.97815	20950.6	351.986	930.875	0.00827056	346.522	12.94	637	199.126	14079.4	0.330822	517.601
1	649	greylag	506.326	1.89737	21948.1	152.754	1265	0	824.415	3.97272	637	127.774	10286.8	0	267.533
1	650	pinkfoot	474.441	1.3181	18505.4	94.3226	1168.99	0.00127569	717.82	2.06572	632	115.43	8260.1	0.111716	180.901
1	650	barnacle	417.538	4.39614	17676.4	272.155	978.778	0.0148189	374.05	11.6663	632	186.513	11546.6	0.628714	494.958
1	650	greylag	505.378	1.85225	21800.5	156.762	1311	0	771.039	4.12196	632	124.143	10506.6	0	276.264
1	651	pinkfoot	431.637	1.38115	17189.6	113.98	1199.99	0.00139027	727.184	1.69971	627	119.307	9845.93	0.120095	146.825
1	651	barnacle	437.916	4.05198	15760.7	264.778	1009.8	0.0134198	350.474	10.6007	627	181.21	11841.2	0.60015	474.08
1	651	greylag	503.241	1.84378	21606.1	159.284	1342	0	734.439	4.30442	627	122.982	10624.4	0	287.108
1	652	pinkfoot	450.337	1.36543	15572.9	105.816	1188.99	0.00132262	717.844	1.99631	623	116.19	9004.35	0.112547	169.874
1	652	barnacle	448.093	3.7711	20623.9	296.423	998.909	0.00613048	351.197	9.80812	623	176.88	13903.5	0.287545	460.041
1	652	greylag	501.12	1.84772	22263.7	159.799	1331	0	735.58	4.40921	623	122.773	10617.9	0	292.972
1	653	pinkfoot	459.258	1.34789	19794	144.173	1147.99	0.00130112	745.338	2.05333	618	113.046	12091.6	0.109124	172.211
1	653	barnacle	451.768	3.51665	22725.4	304.654	958.833	0.0112857	394.495	9.12071	618	172.28	14924.9	0.552886	446.822
1	653	greylag	498.33	1.82721	21315.5	158.132	1290	0	780.914	4.42778	618	120.804	10454.7	0	292.736
1	654	pinkfoot	414.91	1.39817	19895.7	145.742	1150	0.000637357	774.49	1.69217	614	115.55	12044.7	0.0526736	139.847
1	654	barnacle	444.837	3.29191	20948.8	263.736	961.846	0.0104538	422.964	8.35336	614	167.855	13448	0.533041	425.94
1	654	greylag	500.77	1.79229	22277	159.984	1292	0	759.704	4.65751	614	118.074	10539.6	0	306.831
1	655	pinkfoot	455.839	1.37636	18119.3	103.649	1099.99	0.00150534	791.444	2.24731	609	112.078	8440.27	0.122581	183
1	655	barnacle	423.734	3.47918	22830.8	260.418	911.857	0.00973581	463.871	8.00537	609	184.101	13780	0.515171	423.604
1	655	greylag	498.229	1.81069	21462.2	155.016	1241	0	820.948	4.55595	609	118.942	10182.8	0	299.274
1	656	pinkfoot	432.778	1.43582	18713.3	145.294	1097.99	0.00149031	799.264	2.3032	604	115.089	11646.2	0.119457	184.616
1	656	barnacle	448.235	2.88034	24801.9	263.311	873.867	0.00910992	500.593	7.49721	604	157.763	14422.1	0.498971	410.639
1	656	greylag	493.734	1.8255	21247.9	159.603	1239	0	806.141	4.84031	604	119.455	10444	0	316.735
1	657	pinkfoot	452.844	1.38861	15566.1	138.531	1095.99	0.00157005	793.413	2.44985	600	109.594	10933.4	0.123915	193.352
1	657	barnacle	447.74	3.06594	20777.6	262.25	867.938	0.00427975	489.712	7.33436	600	173.436	14835.1	0.242099	414.894
1	657	greylag	496.4	1.76178	20323.4	157.402	1237	0	804.345	4.92574	600	114.867	10262.6	0	321.157
1	658	pinkfoot	448.819	1.40321	17063.8	140.467	1093.99	0.00161216	789.525	2.52464	595	109.289	10940.2	0.125562	196.63
