season	day	day_in_year	species	n_forage_locs	n_forage_locs_se	n	n_forage_locs_sd
1	689	324	pinkfoot	0.997188	0.000897585	4978	0.0633291
1	689	324	barnacle	1.08186	0.00398631	4935	0.280037
1	689	324	greylag	1.07916	0.0042942	3954	0.270023
1	690	325	pinkfoot	0.999799	0.000964467	4973	0.0680137
1	690	325	barnacle	1.05524	0.00331223	4870	0.231145
1	690	325	greylag	1.08248	0.00441145	3916	0.27606
1	691	326	pinkfoot	0.996586	0.000919016	4980	0.0648541
1	691	326	barnacle	1.08646	0.00410048	4846	0.285448
1	691	326	greylag	1.08402	0.00445426	3880	0.277454
1	692	327	pinkfoot	0.998596	0.00134513	4987	0.0949911
1	692	327	barnacle	1.06071	0.00347487	4793	0.24057
1	692	327	greylag	1.10047	0.00486339	3822	0.300666
1	693	328	pinkfoot	1.03353	0.00283581	4980	0.20012
1	693	328	barnacle	1.14609	0.00548949	4730	0.377539
1	693	328	greylag	1.11138	0.0051115	3789	0.314638
1	694	329	pinkfoot	1.11884	0.00514598	4973	0.362892
1	694	329	barnacle	1.11732	0.00480537	4671	0.328421
1	694	329	greylag	1.11877	0.0052803	3755	0.323567
1	695	330	pinkfoot	1.01831	0.00208476	4970	0.146972
1	695	330	barnacle	1.18583	0.00577412	4617	0.392343
1	695	330	greylag	1.12513	0.00541684	3732	0.330915
1	696	331	pinkfoot	1.02729	0.00267934	4984	0.189155
1	696	331	barnacle	1.15347	0.0058146	4535	0.391569
1	696	331	greylag	1.13857	0.00571019	3695	0.347103
1	697	332	pinkfoot	1.05265	0.00327923	4976	0.231319
1	697	332	barnacle	1.14748	0.00580813	4482	0.388841
1	697	332	greylag	1.16594	0.00623638	3658	0.377185
1	698	333	pinkfoot	1.10335	0.00445981	4983	0.31482
1	698	333	barnacle	1.2596	0.00731059	4426	0.48636
1	698	333	greylag	1.24966	0.0082173	3625	0.494747
1	699	334	pinkfoot	1.10261	0.0044207	4980	0.311965
1	699	334	barnacle	1.19255	0.00639498	4373	0.422892
1	699	334	greylag	1.2408	0.00821407	3613	0.493733
1	700	335	pinkfoot	1.1383	0.0050134	4982	0.353862
1	700	335	barnacle	1.2027	0.00679871	4302	0.445925
1	700	335	greylag	1.31233	0.00948344	3586	0.567899
1	701	336	pinkfoot	1.15315	0.00522759	4982	0.36898
1	701	336	barnacle	1.24664	0.00704738	4245	0.459163
1	701	336	greylag	1.31241	0.0093618	3585	0.560537
1	702	337	pinkfoot	1.10745	0.00448926	4979	0.316772
1	702	337	barnacle	1.26647	0.0072285	4173	0.466952
1	702	337	greylag	1.35455	0.010097	3582	0.604304
1	703	338	pinkfoot	1.18251	0.00567301	4986	0.40058
1	703	338	barnacle	1.12831	0.00585452	4115	0.375557
1	703	338	greylag	1.36072	0.00962091	3579	0.575568
1	704	339	pinkfoot	1.13434	0.00518703	4980	0.366044
1	704	339	barnacle	1.09553	0.00460699	4072	0.293982
1	704	339	greylag	1.33016	0.00977841	3577	0.584828
1	705	340	pinkfoot	1.16242	0.0054051	4987	0.381701
1	705	340	barnacle	1.14158	0.005495	4026	0.348662
1	705	340	greylag	1.34434	0.00991124	3575	0.592606
1	706	341	pinkfoot	1.13962	0.00511025	4985	0.360807
1	706	341	barnacle	1.1545	0.00576716	3974	0.36356
1	706	341	greylag	1.36641	0.0103101	3567	0.615762
1	707	342	pinkfoot	1.19819	0.00620807	4970	0.437658
1	707	342	barnacle	1.28312	0.00804647	3910	0.503146
1	707	342	greylag	1.37099	0.0104054	3558	0.620674
1	708	343	pinkfoot	1.11044	0.00463328	4971	0.326671
1	708	343	barnacle	1.11608	0.00525852	3825	0.325222
1	708	343	greylag	1.27014	0.00881024	3550	0.524931
1	709	344	pinkfoot	1.15273	0.00523243	4963	0.368617
1	709	344	barnacle	1.10905	0.00517401	3769	0.317644
1	709	344	greylag	1.35284	0.0100438	3537	0.59733
1	710	345	pinkfoot	1.18722	0.0057964	4962	0.408307
1	710	345	barnacle	1.20408	0.00674094	3729	0.411639
1	710	345	greylag	1.35065	0.00978746	3522	0.580851
1	711	346	pinkfoot	1.15894	0.00536257	4958	0.377595
1	711	346	barnacle	1.30035	0.00806029	3679	0.488895
1	711	346	greylag	1.32299	0.00967027	3514	0.573244
1	712	347	pinkfoot	1.13309	0.00495673	4944	0.348526
1	712	347	barnacle	1.15885	0.00607127	3626	0.365589
1	712	347	greylag	1.3058	0.00913244	3499	0.540205
1	713	348	pinkfoot	1.13901	0.0050568	4935	0.355238
1	713	348	barnacle	1.17929	0.00646149	3592	0.387258
1	713	348	greylag	1.33171	0.00976824	3485	0.576657
1	714	349	pinkfoot	1.10613	0.00453564	4928	0.318401
1	714	349	barnacle	1.22461	0.00804055	3535	0.478058
1	714	349	greylag	1.22545	0.007589	3473	0.447236
1	715	350	pinkfoot	1.07564	0.00398422	4918	0.279407
1	715	350	barnacle	1.20598	0.00683902	3510	0.40518
1	715	350	greylag	1.18515	0.00683837	3462	0.402361
1	716	351	pinkfoot	1.12032	0.00480907	4912	0.337047
1	716	351	barnacle	1.20338	0.00784381	3491	0.463449
1	716	351	greylag	1.19844	0.00704388	3452	0.413854
1	717	352	pinkfoot	1.11191	0.00481854	4897	0.337195
1	717	352	barnacle	1.18763	0.00694683	3459	0.408566
1	717	352	greylag	1.22138	0.00780391	3442	0.457844
1	718	353	pinkfoot	1.11529	0.00464829	4892	0.325115
1	718	353	barnacle	1.2631	0.00862575	3436	0.505619
1	718	353	greylag	1.26706	0.00869585	3430	0.509283
1	719	354	pinkfoot	1.12065	0.00479124	4890	0.335045
1	719	354	barnacle	1.13185	0.00580684	3413	0.339241
1	719	354	greylag	1.25857	0.00841042	3415	0.491488
1	720	355	pinkfoot	1.14356	0.00512976	4876	0.358203
1	720	355	barnacle	1.11042	0.00537902	3396	0.313464
1	720	355	greylag	1.26082	0.00830097	3397	0.483812
1	721	356	pinkfoot	1.13793	0.00510022	4872	0.355994
1	721	356	barnacle	1.12341	0.0056745	3379	0.329854
1	721	356	greylag	1.27855	0.00864972	3389	0.503544
1	722	357	pinkfoot	1.1152	0.00472525	4861	0.329449
1	722	357	barnacle	1.14243	0.00602128	3370	0.349546
1	722	357	greylag	1.23874	0.0078245	3376	0.45463
1	723	358	pinkfoot	1.11136	0.00464345	4858	0.323645
1	723	358	barnacle	1.17088	0.00654995	3359	0.379615
1	723	358	greylag	1.22878	0.00774253	3370	0.449467
1	724	359	pinkfoot	1.07449	0.0038945	4846	0.271109
1	724	359	barnacle	1.05785	0.00404275	3336	0.233502
1	724	359	greylag	1.17063	0.00660842	3364	0.383288
1	725	360	pinkfoot	1.0643	0.003658	4837	0.254409
1	725	360	barnacle	1.09558	0.00528952	3327	0.3051
1	725	360	greylag	1.16294	0.00649917	3357	0.376559
1	726	361	pinkfoot	1.08978	0.0043152	4834	0.300022
1	726	361	barnacle	1.09613	0.00533557	3308	0.306876
1	726	361	greylag	1.21843	0.00753858	3342	0.435806
1	727	362	pinkfoot	1.10497	0.00479282	4830	0.333093
1	727	362	barnacle	1.09766	0.00533699	3287	0.305982
1	727	362	greylag	1.18895	0.00707239	3329	0.408059
1	728	363	pinkfoot	1.05506	0.0034043	4813	0.236176
1	728	363	barnacle	1.13685	0.00609324	3281	0.349021
1	728	363	greylag	1.12312	0.00570161	3322	0.328623
1	729	364	pinkfoot	1.03968	0.00311916	4814	0.216416
1	729	364	barnacle	1.05532	0.00404349	3272	0.231293
1	729	364	greylag	1.1238	0.00571677	3320	0.329397
1	730	0	pinkfoot	1.03022	0.00270668	4798	0.187485
1	730	0	barnacle	1.07051	0.00468802	3262	0.267751
1	730	0	greylag	1.10139	0.00524407	3314	0.301887
1	731	1	pinkfoot	1.0478	0.00322075	4791	0.222931
1	731	1	barnacle	1.04668	0.00372305	3256	0.212443
1	731	1	greylag	1.11998	0.00564952	3309	0.324982
1	732	2	pinkfoot	1.04886	0.00337101	4789	0.233282
1	732	2	barnacle	1.08546	0.00495988	3253	0.282887
1	732	2	greylag	1.14615	0.00615219	3298	0.353309
1	733	3	pinkfoot	1.01592	0.00218458	4775	0.150957
1	733	3	barnacle	1.03075	0.00302785	3252	0.172667
1	733	3	greylag	1.10766	0.0054063	3288	0.310003
1	734	4	pinkfoot	1.06127	0.00361092	4766	0.249284
1	734	4	barnacle	1.05015	0.00382916	3250	0.218296
1	734	4	greylag	1.0828	0.00480891	3285	0.275623
1	735	5	pinkfoot	1.01721	0.00230482	4765	0.159099
1	735	5	barnacle	1.07932	0.00476838	3240	0.271421
1	735	5	greylag	1.10456	0.0053508	3271	0.306026
1	736	6	pinkfoot	1.021	0.00255465	4761	0.176271
1	736	6	barnacle	1.10713	0.00570898	3239	0.32491
1	736	6	greylag	1.10392	0.00534386	3262	0.305209
1	737	7	pinkfoot	1.01841	0.00361531	4834	0.251361
1	737	7	barnacle	1.09063	0.00512495	3233	0.291402
1	737	7	greylag	1.1433	0.00614504	3252	0.350429
1	738	8	pinkfoot	0.996137	0.00283859	4919	0.199086
1	738	8	barnacle	1.06223	0.00429607	3230	0.244159
1	738	8	greylag	1.11334	0.00556401	3247	0.317051
1	739	9	pinkfoot	0.998605	0.00298888	5019	0.211747
1	739	9	barnacle	1.08891	0.0050102	3228	0.284657
1	739	9	greylag	1.10457	0.00537491	3242	0.306039
1	740	10	pinkfoot	1.03297	0.00376712	5096	0.268921
1	740	10	barnacle	1.18837	0.00726359	3217	0.411981
1	740	10	greylag	1.15724	0.00639932	3237	0.364087
1	741	11	pinkfoot	1.05046	0.00419713	5192	0.302427
1	741	11	barnacle	1.16141	0.00702091	3203	0.397348
1	741	11	greylag	1.18086	0.00680288	3229	0.386569
1	742	12	pinkfoot	1.0587	0.00430097	5281	0.312554
1	742	12	barnacle	1.17383	0.00719539	3187	0.406205
1	742	12	greylag	1.21005	0.00728286	3223	0.413459
