746 
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
206	0	12	0	1	0.5	68862	4007	2	557	471	NA	NA	NA	NA	NA	NA	NA	NA
207	0	11	1	0.071	0.5	-20094	45370	2	391	531	NA	NA	NA	NA	NA	NA	NA	NA
208	0	8	0	0	0.5	-20814	45300	2	198	391	NA	NA	NA	NA	NA	NA	NA	NA
209	0	15	1	0.429	0.5	-25793	43974	2	413	402	NA	NA	NA	NA	NA	NA	NA	NA
210	0	8	1	1	0.5	59624	9824	2	453	158	NA	NA	NA	NA	NA	NA	NA	NA
211	0	1	1	0.143	0.5	56354	-3736	3	83	73	436	NA	NA	NA	NA	NA	NA	NA
212	0	25	0	0.429	0.5	10235	63554	5	281	397	509	546	431	NA	NA	NA	NA	NA
213	0	8	1	0.143	0.5	-30329	41710	2	312	235	NA	NA	NA	NA	NA	NA	NA	NA
214	0	14	0	0.429	0.5	-26236	42932	2	402	166	NA	NA	NA	NA	NA	NA	NA	NA
215	0	21	1	0.143	0.5	-30904	41936	1	260	NA	NA	NA	NA	NA	NA	NA	NA	NA
216	0	21	0	1	0.5	58193	-17165	2	538	243	NA	NA	NA	NA	NA	NA	NA	NA
217	0	6	0	0.071	0.5	-20917	38775	3	65	475	63	NA	NA	NA	NA	NA	NA	NA
218	0	1	0	0.429	0.5	78671	56206	2	403	92	NA	NA	NA	NA	NA	NA	NA	NA
219	0	10	1	0	0.5	81395	61711	4	164	62	175	452	NA	NA	NA	NA	NA	NA
220	0	11	1	0	0.5	80329	53541	2	437	531	NA	NA	NA	NA	NA	NA	NA	NA
221	0	35	1	0.429	0.5	68089	-27241	3	63	296	292	NA	NA	NA	NA	NA	NA	NA
222	0	13	1	0.143	0.5	81184	-16596	1	199	NA	NA	NA	NA	NA	NA	NA	NA	NA
223	0	10	0	1	0.5	73531	-46270	1	366	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	0	9	0	0.429	0.5	61105	64175	2	471	216	NA	NA	NA	NA	NA	NA	NA	NA
225	0	1	0	0	0.5	-12427	68895	1	484	NA	NA	NA	NA	NA	NA	NA	NA	NA
226	0	8	1	1	0.5	-9320	75530	1	167	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	0	4	0	0.071	0.5	78363	4811	5	501	123	540	376	468	NA	NA	NA	NA	NA
228	0	21	1	1	0.5	85286	-1347	5	462	428	425	31	65	NA	NA	NA	NA	NA
229	0	10	1	0.071	0.5	39163	80609	2	477	516	NA	NA	NA	NA	NA	NA	NA	NA
230	0	1	0	0.429	0.5	-9172	81206	3	37	390	288	NA	NA	NA	NA	NA	NA	NA
231	0	7	1	0.429	0.5	-12572	70818	2	119	354	NA	NA	NA	NA	NA	NA	NA	NA
232	0	4	1	0.143	0.5	-8930	74737	5	522	431	529	386	88	NA	NA	NA	NA	NA
233	0	9	0	0	0.5	-6235	80618	3	225	425	137	NA	NA	NA	NA	NA	NA	NA
234	0	19	1	0.143	0.5	-21003	73557	1	351	NA	NA	NA	NA	NA	NA	NA	NA	NA
235	0	1	0	0.143	0.5	87543	11367	3	8	235	339	NA	NA	NA	NA	NA	NA	NA
236	0	1	0	0.429	0.5	81373	-30616	4	250	443	2	458	NA	NA	NA	NA	NA	NA
237	0	30	1	0.143	0.5	45981	64520	3	25	40	362	NA	NA	NA	NA	NA	NA	NA
238	0	23	0	1	0.5	82003	-10057	5	264	71	413	67	326	NA	NA	NA	NA	NA
239	0	15	0	0	0.5	78709	5004	1	28	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	0	4	1	0.429	0.5	-7151	80413	3	80	134	34	NA	NA	NA	NA	NA	NA	NA
241	0	20	1	0	0.5	-15470	68157	4	211	514	557	464	NA	NA	NA	NA	NA	NA
242	0	15	1	0.429	0.5	72772	-47547	3	48	391	177	NA	NA	NA	NA	NA	NA	NA
243	0	3	1	0.071	0.5	14960	103000	5	110	272	179	160	384	NA	NA	NA	NA	NA
244	0	3	0	0	0.5	75817	91955	3	166	273	72	NA	NA	NA	NA	NA	NA	NA
245	0	13	1	0.143	0.5	51173	84671	4	20	40	439	391	NA	NA	NA	NA	NA	NA
246	0	1	0	0.143	0.5	106526	-20170	5	70	390	170	64	139	NA	NA	NA	NA	NA
247	0	6	1	1	0.5	78952	68838	3	504	132	80	NA	NA	NA	NA	NA	NA	NA
248	0	6	1	1	0.5	56476	87719	3	499	85	260	NA	NA	NA	NA	NA	NA	NA
249	0	13	1	0.429	0.5	91947	-47523	3	431	432	393	NA	NA	NA	NA	NA	NA	NA
250	0	19	1	0.429	0.5	98925	-46002	2	124	351	NA	NA	NA	NA	NA	NA	NA	NA
251	0	6	1	0.071	0.5	98124	11310	1	534	NA	NA	NA	NA	NA	NA	NA	NA	NA
252	0	15	1	0.071	0.5	39056	84903	4	169	478	164	364	NA	NA	NA	NA	NA	NA
